Topic Question
__label__governance "The key standard good political science easily economy managed Is fair judgment"
__label__leadership "Should politicians pursue popular viewpoint operating theatre convictions contravene"
__label__leadership "Should politician pursue democratic point view convictions conflict"
__label__society "The job raising children make make difficult preponderance technology Comment"
__label__science "Can use animals scientific research ever represent justified"
__label__society "Festivals rite still important persona Be true society"
__label__intervention_conflict_and_war "How far countries relations others whose human rights disc poor"
__label__the_arts "Do agree simply rich take account Arts"
__label__mass_media "Censorship harm skillful How far true today"
__label__intervention_conflict_and_war "No cause ever deserving die Discus"
__label__history "History record manly number write male holds little interest females result Is fair comment"
__label__governance "Examine view co ordinated world greater extent dangerous earthly concern"
__label__family_marriage_youth "There cracking need kinsperson How key lodge"
__label__family_marriage_youth "Information technology embody greater extent difficult parent today Discuss"
__label__security_issues__terrorism_security_privacy "Soft power trumps military might To extent true globalised world"
